Province,Occupation - Minor group - National Occupational Classification (NOC) 2021 (309A),Income
Newfoundland and Labrador,0 Legislative and senior management occupations,97000
Newfoundland and Labrador,"1 Business, finance and administration occupations",47200
Newfoundland and Labrador,2 Natural and applied sciences and related occupations,78500
Newfoundland and Labrador,3 Health occupations,55200
Newfoundland and Labrador,"4 Occupations in education, law and social, community and government services",44800
Newfoundland and Labrador,"5 Occupations in art, culture, recreation and sport",14200
Newfoundland and Labrador,6 Sales and service occupations,20000
Newfoundland and Labrador,"7 Trades, transport and equipment operators and related occupations",42800
Newfoundland and Labrador,"8 Natural resources, agriculture and related production occupations",25000
Newfoundland and Labrador,9 Occupations in manufacturing and utilities,21200
Prince Edward Island,0 Legislative and senior management occupations,84000
Prince Edward Island,"1 Business, finance and administration occupations",46400
Prince Edward Island,2 Natural and applied sciences and related occupations,58800
Prince Edward Island,3 Health occupations,47200
Prince Edward Island,"4 Occupations in education, law and social, community and government services",47600
Prince Edward Island,"5 Occupations in art, culture, recreation and sport",15400
Prince Edward Island,6 Sales and service occupations,19400
Prince Edward Island,"7 Trades, transport and equipment operators and related occupations",36800
Prince Edward Island,"8 Natural resources, agriculture and related production occupations",20000
Prince Edward Island,9 Occupations in manufacturing and utilities,32000
Nova Scotia,0 Legislative and senior management occupations,99000
Nova Scotia,"1 Business, finance and administration occupations",44800
Nova Scotia,2 Natural and applied sciences and related occupations,67500
Nova Scotia,3 Health occupations,48400
Nova Scotia,"4 Occupations in education, law and social, community and government services",54800
Nova Scotia,"5 Occupations in art, culture, recreation and sport",17000
Nova Scotia,6 Sales and service occupations,20000
Nova Scotia,"7 Trades, transport and equipment operators and related occupations",41200
Nova Scotia,"8 Natural resources, agriculture and related production occupations",23000
Nova Scotia,9 Occupations in manufacturing and utilities,36000
New Brunswick,0 Legislative and senior management occupations,87000
New Brunswick,"1 Business, finance and administration occupations",45200
New Brunswick,2 Natural and applied sciences and related occupations,64500
New Brunswick,3 Health occupations,46400
New Brunswick,"4 Occupations in education, law and social, community and government services",50000
New Brunswick,"5 Occupations in art, culture, recreation and sport",19000
New Brunswick,6 Sales and service occupations,21200
New Brunswick,"7 Trades, transport and equipment operators and related occupations",38800
New Brunswick,"8 Natural resources, agriculture and related production occupations",20800
New Brunswick,9 Occupations in manufacturing and utilities,32400
Quebec,0 Legislative and senior management occupations,79500
Quebec,"1 Business, finance and administration occupations",46800
Quebec,2 Natural and applied sciences and related occupations,67500
Quebec,3 Health occupations,49200
Quebec,"4 Occupations in education, law and social, community and government services",49200
Quebec,"5 Occupations in art, culture, recreation and sport",28800
Quebec,6 Sales and service occupations,20400
Quebec,"7 Trades, transport and equipment operators and related occupations",43600
Quebec,"8 Natural resources, agriculture and related production occupations",23000
Quebec,9 Occupations in manufacturing and utilities,38800
Ontario,0 Legislative and senior management occupations,126000
Ontario,"1 Business, finance and administration occupations",53200
Ontario,2 Natural and applied sciences and related occupations,78500
Ontario,3 Health occupations,52400
Ontario,"4 Occupations in education, law and social, community and government services",58800
Ontario,"5 Occupations in art, culture, recreation and sport",23000
Ontario,6 Sales and service occupations,21600
Ontario,"7 Trades, transport and equipment operators and related occupations",44800
Ontario,"8 Natural resources, agriculture and related production occupations",22200
Ontario,9 Occupations in manufacturing and utilities,43600
Manitoba,0 Legislative and senior management occupations,100000
Manitoba,"1 Business, finance and administration occupations",45600
Manitoba,2 Natural and applied sciences and related occupations,68500
Manitoba,3 Health occupations,49200
Manitoba,"4 Occupations in education, law and social, community and government services",48000
Manitoba,"5 Occupations in art, culture, recreation and sport",21800
Manitoba,6 Sales and service occupations,21400
Manitoba,"7 Trades, transport and equipment operators and related occupations",44400
Manitoba,"8 Natural resources, agriculture and related production occupations",23800
Manitoba,9 Occupations in manufacturing and utilities,42400
Saskatchewan,0 Legislative and senior management occupations,94000
Saskatchewan,"1 Business, finance and administration occupations",49200
Saskatchewan,2 Natural and applied sciences and related occupations,76000
Saskatchewan,3 Health occupations,53600
Saskatchewan,"4 Occupations in education, law and social, community and government services",54800
Saskatchewan,"5 Occupations in art, culture, recreation and sport",20000
Saskatchewan,6 Sales and service occupations,23200
Saskatchewan,"7 Trades, transport and equipment operators and related occupations",50000
Saskatchewan,"8 Natural resources, agriculture and related production occupations",25000
Saskatchewan,9 Occupations in manufacturing and utilities,54800
Alberta,0 Legislative and senior management occupations,123000
Alberta,"1 Business, finance and administration occupations",53600
Alberta,2 Natural and applied sciences and related occupations,83000
Alberta,3 Health occupations,56400
Alberta,"4 Occupations in education, law and social, community and government services",59200
Alberta,"5 Occupations in art, culture, recreation and sport",21200
Alberta,6 Sales and service occupations,24600
Alberta,"7 Trades, transport and equipment operators and related occupations",54000
Alberta,"8 Natural resources, agriculture and related production occupations",31000
Alberta,9 Occupations in manufacturing and utilities,58000
British Columbia,0 Legislative and senior management occupations,108000
British Columbia,"1 Business, finance and administration occupations",48800
British Columbia,2 Natural and applied sciences and related occupations,75000
British Columbia,3 Health occupations,55600
British Columbia,"4 Occupations in education, law and social, community and government services",52400
British Columbia,"5 Occupations in art, culture, recreation and sport",25200
British Columbia,6 Sales and service occupations,23200
British Columbia,"7 Trades, transport and equipment operators and related occupations",50400
British Columbia,"8 Natural resources, agriculture and related production occupations",26800
British Columbia,9 Occupations in manufacturing and utilities,45600
